gender,race,age,age_binary,Bachelor,High School,PhD,Master,Community College,Elite University,Private High School,Public University,Online Institution,Public High School,years_experience,Python,Java,JavaScript,SQL,Git,React,Docker,AWS,Machine Learning,Data Structures,Algorithms,Debugging,Communication,Teamwork,Problem Solving,English,Spanish,French,Mandarin,Arabic,Portuguese,test_score,true_qualification,hiring_score
1,0,45,1,1,0,0,0,1,0,0,0,0,0,12,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,71.49,85.45,32.98
0,0,31,1,1,0,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,66.43,60.1,18.84
1,1,46,1,0,1,0,0,0,0,1,0,0,0,10,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,53.82,64.44,28.58
1,0,33,1,1,0,0,0,1,0,0,0,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,66,67.53,28.21
0,1,28,1,1,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,56.69,60.63,23.05
1,0,49,1,0,0,1,0,0,0,0,1,0,0,8,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,78.28,95.38,36.95
1,1,23,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,64.2,51.96,25.98
1,1,45,1,0,1,0,0,0,0,0,0,0,1,18,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,83.73,81.03,35.21
0,1,32,1,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,89.63,60.15,22.86
1,0,38,1,0,0,0,1,0,1,0,0,0,0,8,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,59.43,74.74,28.7
0,0,46,1,1,0,0,0,1,0,0,0,0,0,3,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,87.33,73.84,21.94
1,0,34,1,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,63.16,67.07,28.03
1,1,62,0,0,0,0,1,0,0,0,0,1,0,27,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,79.93,84.48,28.59
1,0,60,0,1,0,0,0,0,0,0,0,1,0,24,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,71.15,71.83,19.53
0,0,34,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,68.69,59.37,18.55
1,0,40,1,1,0,0,0,0,1,0,0,0,0,7,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,74.72,58.64,22.25
1,1,35,1,1,0,0,0,0,1,0,0,0,0,7,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,79.52,77.91,33.96
1,0,39,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,62.97,72.91,27.96
0,0,30,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,66.51,67.72,21.89
1,0,22,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,83.05,53.55,22.62
0,1,30,1,0,1,0,0,0,0,1,0,0,0,8,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,56.54,55.36,20.94
1,1,65,0,0,0,1,0,0,1,0,0,0,0,31,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,53.4,92.56,31.82
0,0,64,0,0,0,0,1,0,1,0,0,0,0,22,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,78.48,94.66,22.26
1,0,43,1,0,0,0,1,0,0,0,1,0,0,9,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,86.02,75.37,28.95
1,0,36,1,0,0,0,1,0,1,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,100,89.24,34.49
1,0,28,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,93.14,86.22,35.69
1,1,26,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,82.24,71.97,33.99
0,1,60,0,0,0,1,0,0,0,0,1,0,0,25,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,68.21,94.41,26.16
0,1,31,1,1,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,80.78,60.23,22.89
0,1,44,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,88.09,96.52,35.01
1,1,39,1,0,0,0,1,0,0,0,0,1,0,12,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,100,97.72,41.89
